"sentence","bp_number"
"LEFT(EXISTS(LOW(AREA(UNION(GET(FIGURES,MIDDLE)),GET(FIGURES,HORIZONTAL)))))",19
"LEFT(EXISTS(HIGH(AREA(UNION(GET(FIGURES,MIDDLE)),GET(FIGURES,VERTICAL)))))",19
"RIGHT(EXISTS(LOW(AREA(UNION(GET(FIGURES,MIDDLE)),GET(FIGURES,VERTICAL)))))",19
"RIGHT(EXISTS(HIGH(AREA(UNION(GET(FIGURES,MIDDLE)),GET(FIGURES,VERTICAL)))))",19
"LEFT(EXISTS(SMALL(FIGURES)))",21
"RIGHT(EQUALNUM(BIG(FIGURES)))",21
"RIGHT(CEASES(SMALL(FIGURES)))",21
"LEFT(LESSSIMLA(FIGURES,SIZE))",21
"LEFT(MORESIMLA(FIGURES,SIZE))",22
"LEFT(EQUALNUM(FIGURES,SIZE))",22
"RIGHT(DIFFNUM(FIGURES,SIZE))",22
"RIGHT(LESSSIMLA(FIGURES,SIZE))",22
"LEFT(EXACTLY(1,FIGURES))",23
"RIGHT(EXACTLY(2,FIGURES))",23
"LEFT(EXISTS(CIRCLES))",24
"RIGHT(CEASES(CIRCLES))",24
"RIGHT(EXISTS(SOLID(CIRCLES)))",25
"LEFT(EXISTS(SOLID(TRIANGLES)))",25
"LEFT(EXACTLY(1,SOLID(TRIANGLES)))",25
"RIGHT(EXACTLY(1,SOLID(CIRCLES)))",25
"LEFT(EXISTS(SOLID(TRIANGLES)))",26
"RIGHT(CEASES(SOLID(TRIANGLES)))",26
"RIGHT(MORE(OUTLINE(FIGURES),SOLID(FIGURES)))",27
"LEFT(MORE(SOLID(FIGURES),OUTLINE(FIGURES)))",27
"LEFT(LESS(OUTLINE(FIGURES),SOLID(FIGURES)))",27
"RIGHT(LESS(SOLID(FIGURES),OUTLINE(FIGURES)))",27
"LEFT(MORE(SOLID(CIRCLES),OUTLINE(CIRCLES)))",28
"RIGHT(MORE(OUTLINE(CIRCLES),SOLID(CIRCLES)))",28
"LEFT(LESS(SOLID(CIRCLES),OUTLINE(CIRCLES)))",28
"RIGHT(LESS(OUTLINE(CIRCLES),SOLID(CIRCLES)))",28
"RIGHT(MORE(FIGURES,INSIDE(FIGURES)))",29
"LEFT(MORE(INSIDE(FIGURES),FIGURES))",29
"LEFT(LESS(FIGURES,INSIDE(FIGURES)))",29
"RIGHT(LESS(INSIDE(FIGURES),FIGURES))",29
"LEFT(EXISTS(CROSSING(LINES))",30
"RIGHT(CEASES(CROSSING(LINES))",30
"LEFT(EXACTLY(1,LINES))",31
"RIGHT(EXACTLY(2,LINES))",31
"LEFT(EXISTS(MOVING(SMALL(GET(FIGURES,ANGLES))),OUTSIDE))",32
"RIGHT(CEASES(MOVING(SMALL(GET(FIGURES,ANGLES))),OUTSIDE))",32
"LEFT(EXISTS(LOW(ANGLES))",33
"RIGHT(CEASES(LOW(ANGLES))",33
"LEFT(EXISTS(BIG(GET(FIGURES,HOLES))))",34
"LEFT(CEASES(SMALL(GET(FIGURES,HOLES))))",34
"RIGHT(EXISTS(SMALL(GET(FIGURES,HOLES))))",34
"RIGHT(CEASES(BIG(GET(FIGURES,HOLES))))",34
"LEFT(GREATERLLA(FIGURES,GET(FIGURES,HOLES),ORIENTATION))",35
"RIGHT(LESSERLLA(FIGURES,GET(FIGURES,HOLES),ORIENTATION))",35
"LEFT(GREATERLLA(TRIANGLES,CIRCLES,YPOS))",36
"RIGHT(GREATERLLA(CIRCLES,TRIANGLES,YPOS))",36
"LEFT(LESSERLLA(TRIANGLES,CIRCLES,YPOS))",36
"RIGHT(LESSERLLA(CIRCLES,TRIANGLES,YPOS))",36
"LEFT(GREATERLLA(TRIANGLES,CIRCLES,YPOS))",37
"RIGHT(GREATERLLA(CIRCLES,TRIANGLES,YPOS))",37
"LEFT(LESSERLLA(TRIANGLES,CIRCLES,YPOS))",37
"RIGHT(LESSERLLA(CIRCLES,TRIANGLES,YPOS))",37
"LEFT(GREATERLLA(TRIANGLES,CIRCLES,SIZE))",38
"RIGHT(GREATERLLA(CIRCLES,TRIANGLES,SIZE))",38
"RIGHT(LESSERLLA(TRIANGLES,CIRCLES,SIZE))",38
"LEFT(LESSERLLA(CIRCLES,TRIANGLES,SIZE))",38
"LEFT(MORESIMLA(FIGURES,ORIENTATION))",39
"LEFT(LESSSIMLA(FIGURES,ORIENTATION))",39
"LEFT(EXISTS(ALIGNED(CIRCLES)))",40
"LEFT(EXACTLY(3,ALIGNED(CIRCLES)))",40
"RIGHT(CEASES(ALIGNED(CIRCLES)))",40
"LEFT(EXISTS(ALIGNED(OUTLINE(CIRCLES))))",41
"RIGHT(CEASES(ALIGNED(OUTLINE(CIRCLES))))",41
"LEFT(EXISTS(ALIGNED(INSIDE(FIGURES))))",42
"RIGHT(CEASES(ALIGNED(INSIDE(FIGURES))))",42
"LEFT(EXISTS(AREA(INCREASING(MOVING(FIGURES,RIGHTD)))))",43
"LEFT(EXISTS(AREA(DECREASING(MOVING(FIGURES,LEFTD)))))",43
"RIGHT(EXISTS(AREA(INCREASING(MOVING(FIGURES,LEFTD)))))",43
"RIGHT(EXISTS(AREA(DECREASING(MOVING(FIGURES,RIGHTD)))))",43
"LEFT(EXISTS(ON(OUTLINE(FIGURES),SOLID(FIGURES))))",45
"RIGHT(EXISTS(ON(SOLID(FIGURES),OUTLINE(FIGURES))))",45
"LEFT(EXISTS(ON(TRIANGLE,CIRCLE)))",45
"RIGHT(EXISTS(ON(CIRCLE,TRIANGLE)))",45
"RIGHT(EXISTS(INSIDE(TRIANGLES)))",47
"LEFT(EXISTS(INSIDE(CIRCLES)))",47
"RIGHT(GREATERLLA(OUTLINE(FIGURES),SOLID(FIGURES),YPOS))",48
"LEFT(GREATERLLA(SOLID(FIGURES),OUTLINE(FIGURES),YPOS))",48
"RIGHT(LESSERLLA(SOLID(FIGURES),OUTLINES(FIGURES),YPOS))",48
"LEFT(LESSERLLA(OUTLINE(FIGURES),SOLID(FIGURES),YPOS))",48
"RIGHT(GREATERLLA(INSIDE(FIGURES),FIGURES,DISTANCE))",49
"LEFT(GREATERLLA(FIGURES,INSIDE(FIGURES),DISTANCE))",49
"RIGHT(LESSERLLA(FIGURES,INSIDE(FIGURES),DISTANCE))",49
"LEFT(LESSERLLA(INSIDE(FIGURES),FIGURES,DISTANCE))",49
"LEFT(EXISTS(SYMMETRY(FIGURES,VERTICAL)))",50
"RIGHT(CEASES(SYMMETRY(FIGURES)))",50
"LEFT(EXISTS(LOW(CIRCLES,DISTANCE)))",51
"RIGHT(EXISTS(HIGH(CIRCLES,DISTANCE))",51
"LEFT(GREATERLLA(OUTSIDE(FIGURES),INSIDE(FIGURES),NCORNERS))",53
"RIGHT(GREATERLLA(INSIDE(FIGURES),OUTSIDE(FIGURES),NCORNERS))",53
"LEFT(MORESIMLA(FIGURES,COLOR))",56
"RIGHT(LESSSIMLA(FIGURES,COLOR))",56
"LEFT(EQUALNUM(FIGURES,COLOR))",56
"RIGHT(DIFFNUM(FIGURES,COLOR))",56
"LEFT(EQUALNUM(FIGURES))",57
"RIGHT(DIFFNUM(FIGURES))",57
"LEFT(EQUALNUM(SOLID(RECTANGLES),SIZE))",58
"RIGHT(DIFFNUM(SOLID(RECTANGLES),SIZE))",58
"LEFT(MORESIMLA(FIGURES))",59
"RIGHT(LESSSIMLA(FIGURES))",59
"LEFT(EXISTS(HIGH(GET(LINES,END),DISTANCE)))",62
"RIGHT(EXISTS(LOW(GET(LINES,END),DISTANCE)))",62
"RIGHT(EXISTS(HIGH(GET(GET(FIGURES,HULL),LEFTD)), AREA))",63
"LEFT(EXISTS(HIGH(GET(GET(FIGURES,HULL),RIGHTD)), AREA))",63
"LEFT(MORESIMLA(TRIANGLES,YPOS))",65
"RIGHT(MORESIMLA(TRIANGLES,XPOS))",65
"LEFT(LESSSIMLA(TRIANGLES,XPOS))",65
"RIGHT(LESSSIMLA(TRIANGLES,YPOS))",65
"RIGHT(MORESIMLA(CIRCLES,XPOS))",66
"LEFT(MORESIMLA(CIRCLES,YPOS))",66
"RIGHT(LESSSIMLA(CIRCLES,YPOS))",66
"LEFT(LESSSIMLA(CIRCLES,XPOS))",66
"LEFT(EXISTS(INSIDE(INSIDE(FIGURES))))",71
"RIGHT(CEASES(INSIDE(INSIDE(FIGURES))))",71
"LEFT(EXISTS(EQUALNUM(GET(LINES,END),ORIENTATION)))",72
"RIGHT(EXISTS(DIFFNUM(GET(LINES,END),ORIENTATION)))",72
"LEFT(CEASES(DIFFNUM(GET(LINES,END),ORIENTATION)))",72
"RIGHT(CEASES(EQUALNUM(GET(LINES,END),ORIENTATION)))",72
"LEFT(EXISTS(DIFFNUM(CIRCLE,QUADRILATERALS,ORIENTATION))",73
"LEFT(LESSERLLA(CIRCLE,QUADRILATERALS,ORIENTATION))",73
"RIGHT(EXISTS(EQUALNUM(CIRCLE,QUADRILATERALS,ORIENTATION))",73
"RIGHT(GREATERLLA(CIRCLE,QUADRILATERALS,ORIENTATION))",73
"LEFT(EXISTS(ON(LINES,GET(FIGURES,HIGH(AREA))))",74
"LEFT(CEASES(ON(LINES,GET(FIGURES,LOW(AREA))))",74
"RIGHT(EXISTS(ON(LINES,GET(FIGURES),LOW(AREA))))",74
"RIGHT(CEASES(ON(LINES,GET(FIGURES),HIGH(AREA))))",74
