bp_number,text_input,concept_type,left_image,right_image,comment
66,"BP66","spatial_relationship",FAILED,FAILED,"Too much noise generated to tell anything apart"
67,"BP67","spatial_relationship",CLEAR,CLEAR,
68,"BP68","spatial_relationship",CLEAR,CLEAR,
69,"BP69","spatial_relationship",FAILED,CLEAR,"The ball is on the correct branch on the right"
70,"BP70","spatial_relationship",FAILED,FAILED,"Its both so close to being PARTIAL, or even CLEAR, its just hard to really conceptualise if the outputs are correct at all"
71,"BP71","spatial_relationship",FAILED,FAILED,
72,"BP72","shape_geometry",FAILED,FAILED,
73,"BP73","spatial_relationship",FAILED,FAILED,"Outputs are too noisy to tell any concept"
74,"BP74","shape_geometry",CLEAR,CLEAR,
75,"BP75","spatial_relationship",PARTIAL,CLEAR,"On the left, shapes are generated on the correct side of the arc, but end up being noisy instead of complete shapes, so moving to PARTIAL"
76,"BP76","shape_geometry",FAILED,FAILED,
77,"BP77","shape_geometry",FAILED,FAILED,
78,"BP78","spatial_relationship",FAILED,FAILED,
79,"BP79","spatial_relationship",FAILED,FAILED,
80,"BP80","spatial_relationship",CLEAR,FAILED,"The circles are spaced equally enough from the single cross"
81,"BP81","spatial_relationship",FAILED,FAILED,
82,"BP82","spatial_relationship",FAILED,CLEAR,"The crosses on the right do not make an equilateral triangle, it seems for specific spatial_relation, the non-existence of the right image is usually a pass"
83,"BP83","spatial_relationship",CLEAR,CLEAR,
84,"BP84","spatial_relationship",CLEAR,CLEAR,
85,"BP85","numerosity",FAILED,FAILED,"Generated npoisy oututs"
86,"BP86","numerosity",FAILED,FAILED,"Generated noisy outputs"
87,"BP87","numerosity",FAILED,FAILED,"Generated noisy outputs"
88,"BP88","numerosity",CLEAR,FAILED,"There are three distinct pieces of noise on the left"
89,"BP89","numerosity",FAILED,CLEAR,"five distinct circle groups on the right"
90,"BP90","numerosity",PARTIAL,FAILED,"The left image has three distinct groups, but two of the groups are connected by a faint piece of noise, so leaving as PARTIAL"
91,"BP91","numerosity",FAILED,FAILED,"Generated noisy outputs"
92,"BP92","shape_geometry",CLEAR,CLEAR,
93,"BP93","visual_properties",CLEAR,CLEAR,"The middle spot where branches form is either outline circle, or black circle"
94,"BP94","visual_properties",CLEAR,FAILED,"The right side failed to generate a black circle"
95,"BP95","visual_properties",CLEAR,CLEAR,
96,"BP96","shape_geometry",FAILED,FAILED,"Very noisy training images, model struggles to generate good representations"
97,"BP97","shape_geometry",CLEAR,CLEAR,
98,"BP98","shape_geometry",FAILED,FAILED,"Very noisy training images"
99,"BP99","spatial_relationship",FAILED,PARTIAL,"The left has noisy outputs so its hard to tell anything in terms of concept understanding, on the right, there are two distinct lines which don't intersect, but these lines are not distinct of triangles or circles"
100,"BP100","shape_geometry",CLEAR,CLEAR,
